open,high,low,close,volume
0.012979,0.013015,0.012976,0.013012,962486.69
0.013015,0.013018,0.012995,0.013002,728278.16
0.013,0.013,0.01298,0.012985,439401.23
0.012987,0.012989,0.01297,0.01297,123202.88
0.01297,0.01297,0.012953,0.012965,538140.96
0.012986,0.013009,0.012986,0.013008,1044392.45
0.013009,0.01302,0.012996,0.013011,578163.68
0.013011,0.013012,0.012988,0.013003,388902.36
0.013,0.013001,0.012984,0.012989,194321.24
0.012988,0.012988,0.012968,0.012973,310267.4
0.012968,0.012976,0.012951,0.012976,635695.86
0.012976,0.012976,0.012928,0.012928,1169810.98
0.012937,0.01295,0.012926,0.01295,705357.53
0.01295,0.01295,0.012901,0.012908,933415.44
0.012909,0.012916,0.0129,0.012915,334005.67
0.012912,0.012915,0.012884,0.012885,1168363.26
0.012884,0.012901,0.012855,0.012901,1346254.01
0.012899,0.012901,0.012887,0.012892,543369.28
0.012892,0.012937,0.012892,0.012934,508129.59
0.012943,0.012965,0.012943,0.012959,343696.51
0.012962,0.013,0.01296,0.012986,1011250.51
0.012986,0.013004,0.012986,0.013001,241847.52
0.013006,0.013011,0.012987,0.013011,443616.25
0.013003,0.013016,0.013002,0.013015,68983.31
0.013015,0.013042,0.013015,0.013029,1377813.68
0.013028,0.013056,0.013023,0.013045,590719.32
0.013045,0.013047,0.013023,0.013029,403730.75
0.013037,0.013042,0.013023,0.013042,163235.23
0.013037,0.013037,0.013015,0.013023,201521.09
0.013023,0.01304,0.013019,0.013024,2750192.78
0.013024,0.01306,0.013017,0.01306,655816.53
0.01306,0.013066,0.013041,0.01305,922202.86
0.013049,0.013049,0.013013,0.013029,1554467.24
0.013029,0.013036,0.013014,0.013027,269578.77
0.013027,0.013038,0.013012,0.01302,363176.33
0.013024,0.013042,0.013021,0.013023,1169422.18
0.013029,0.013029,0.012993,0.012993,1449803.79
0.012994,0.013015,0.012989,0.01301,1310269.0
0.01301,0.013011,0.01297,0.012973,726194.35
0.012972,0.013001,0.012967,0.013001,82509.53
0.012998,0.012999,0.012988,0.012989,856447.03
0.012987,0.013007,0.012983,0.013006,340397.83
0.013004,0.013024,0.013004,0.013013,461627.42
0.013013,0.013028,0.013001,0.013021,854192.52
0.013024,0.01303,0.013021,0.01303,181430.68
0.013028,0.013028,0.013005,0.013005,147837.92
0.013004,0.013004,0.012968,0.012968,2396809.62
0.012975,0.012975,0.012957,0.012958,189830.48
0.012955,0.012982,0.012954,0.012982,528047.77
0.012978,0.012978,0.012958,0.012965,345935.3
0.012965,0.012978,0.012938,0.012978,578514.03
0.012983,0.013006,0.012981,0.013002,409720.09
0.013001,0.013001,0.012983,0.012989,608100.47
0.012985,0.012985,0.01298,0.012982,177328.13
0.012985,0.013019,0.01298,0.013019,411445.75
0.013014,0.013019,0.01298,0.01298,3991482.82
0.01298,0.012997,0.01298,0.012991,701851.91
0.012991,0.012991,0.01298,0.012982,1641833.03
0.012987,0.012987,0.01293,0.012931,3095968.69
0.01293,0.012979,0.012928,0.012972,2565161.39
0.012971,0.012986,0.012955,0.012955,665054.51
0.012959,0.012965,0.012945,0.012955,236419.65
0.012954,0.012954,0.012916,0.012928,322488.58
0.012937,0.012986,0.012937,0.012984,193059.43
0.012981,0.013017,0.012974,0.012998,1194858.32
0.012982,0.012996,0.012979,0.012993,244603.92
0.012989,0.012997,0.012973,0.01299,497368.27
0.012981,0.012982,0.012957,0.01296,647711.56
0.012961,0.013002,0.012955,0.013002,1447600.53
0.012998,0.013041,0.012998,0.013027,520755.63
0.013023,0.013045,0.013018,0.013039,1965112.2
0.013037,0.013097,0.01303,0.01309,1423820.04
0.013091,0.013111,0.013067,0.013111,4837029.14
0.013101,0.013101,0.013084,0.013084,386947.53
0.013084,0.013084,0.013057,0.013064,102711.73
0.013067,0.013089,0.013064,0.013077,386130.02
0.013077,0.013102,0.013077,0.013083,447131.78
0.013085,0.013101,0.013077,0.013088,305416.11
0.013085,0.013114,0.013085,0.013111,464106.49
0.013112,0.013122,0.013089,0.013094,2357433.55
0.013096,0.013121,0.013088,0.013105,735306.47
0.013106,0.01312,0.013103,0.01312,254836.84
0.013112,0.013123,0.013103,0.013115,276199.36
0.013113,0.013122,0.013105,0.013105,1007480.09
0.013115,0.013148,0.013115,0.013145,489874.96
0.013146,0.013149,0.01312,0.013125,317188.04
0.013131,0.013139,0.013109,0.01311,185591.48
0.013112,0.013112,0.0131,0.013104,562706.56
0.013103,0.01311,0.0131,0.0131,521082.77
0.013104,0.01312,0.013092,0.01312,347982.21
0.013123,0.013125,0.013104,0.013124,340981.64
0.013116,0.013124,0.013113,0.013123,269346.28
0.013124,0.013135,0.013113,0.013117,661568.63
0.013116,0.013128,0.013115,0.013115,198030.75
0.013119,0.013133,0.013113,0.013113,518352.97
0.013115,0.013115,0.013101,0.013103,97197.87
0.013109,0.013113,0.013101,0.013101,96276.12
0.013102,0.013105,0.013079,0.01308,464849.93
0.013083,0.013091,0.013072,0.013091,455538.74
0.013092,0.013108,0.013091,0.013099,89751.33
0.013097,0.013122,0.013089,0.013117,708420.23
0.013115,0.013119,0.013094,0.013111,1151349.54
